syllable,tone1,tone2,tone3,tone4,tone5,tones_available
lu,lu1,lu2,lu3,lu4,lu5,1|2|3|4|5
luan,,luan2,luan3,luan4,,2|3|4
lun,lun1,lun2,lun3,lun4,,1|2|3|4
luo,luo1,luo2,luo3,luo4,luo5,1|2|3|4|5
lv,,lv2,lv3,lv4,,2|3|4
lve,,,lve3,lve4,,3|4
m,m1,m2,,m4,,1|2|4
ma,ma1,ma2,ma3,ma4,ma5,1|2|3|4|5
mai,,mai2,mai3,mai4,,2|3|4
man,man1,man2,man3,man4,,1|2|3|4
mang,mang1,mang2,mang3,mang4,,1|2|3|4
mao,mao1,mao2,mao3,mao4,,1|2|3|4
me,me1,,,,me5,1|5
mei,,mei2,mei3,mei4,,2|3|4
men,men1,men2,,men4,men5,1|2|4|5
meng,meng1,meng2,meng3,meng4,meng5,1|2|3|4|5
mi,mi1,mi2,mi3,mi4,,1|2|3|4
mian,,mian2,mian3,mian4,,2|3|4
miao,miao1,miao2,miao3,miao4,,1|2|3|4
mie,mie1,mie2,,mie4,mie5,1|2|4|5
min,,min2,min3,,min5,2|3|5
ming,,ming2,ming3,ming4,ming5,2|3|4|5
miu,,,miu3,miu4,,3|4
mo,mo1,mo2,mo3,mo4,mo5,1|2|3|4|5
mou,mou1,mou2,mou3,mou4,,1|2|3|4
mu,,mu2,mu3,mu4,,2|3|4
n,,n2,n3,n4,n5,2|3|4|5
na,na1,na2,na3,na4,na5,1|2|3|4|5
nai,,nai2,nai3,nai4,,2|3|4
nan,nan1,nan2,nan3,nan4,,1|2|3|4
nang,nang1,nang2,nang3,nang4,nang5,1|2|3|4|5
nao,nao1,nao2,nao3,nao4,,1|2|3|4
ne,,ne2,,ne4,ne5,2|4|5
nei,,nei2,nei3,nei4,,2|3|4
nen,,,,nen4,,4
neng,,neng2,neng3,neng4,,2|3|4
ng,,ng2,ng3,ng4,ng5,2|3|4|5
ni,ni1,ni2,ni3,ni4,,1|2|3|4
nia,nia1,,,,,1
nian,nian1,nian2,nian3,nian4,,1|2|3|4
niang,,niang2,niang3,niang4,,2|3|4
niao,,,niao3,niao4,niao5,3|4|5
nie,nie1,nie2,nie3,nie4,,1|2|3|4
nin,,nin2,nin3,,nin5,2|3|5
ning,,ning2,ning3,ning4,,2|3|4
niu,niu1,niu2,niu3,niu4,,1|2|3|4
nong,,nong2,nong3,nong4,,2|3|4
nou,,nou2,nou3,nou4,,2|3|4
nu,,nu2,nu3,nu4,,2|3|4
nuan,,nuan2,nuan3,nuan4,,2|3|4
